PMID,Title,csv_name,SentenceIndex,Sentence
31305320,Type 2 Diabetes Interacts With Alzheimer Disease Risk Factors to Predict Functional Decline.,ALZ_T2DM,0,OBJECTIVE: The current study examined the interactive effect of type 2 diabetes and Alzheimer disease Alzheimer disease risk factors on the rate of functional decline in cognitively normal participants from the Alzheimer's Disease Neuroimaging Initiative.
31305320,Type 2 Diabetes Interacts With Alzheimer Disease Risk Factors to Predict Functional Decline.,ALZ_T2DM,1,"METHODS: cognitively normal participants underwent annual assessments that included the Functional Activities Questionnaire, an informant-rated measure of everyday functioning."
31305320,Type 2 Diabetes Interacts With Alzheimer Disease Risk Factors to Predict Functional Decline.,ALZ_T2DM,2,"Multilevel modeling, controlling for demographic variables and ischemic risk, examined the interactive effects of diabetes status (diabetes, n=69; no diabetes, n=744) and Alzheimer disease risk factors in the prediction of 5-year longitudinal change in everyday functioning."
31305320,Type 2 Diabetes Interacts With Alzheimer Disease Risk Factors to Predict Functional Decline.,ALZ_T2DM,3,"One model was run for each Alzheimer disease risk factor, including: objectively-defined subtle cognitive decline (Obj-SCD), and genetic susceptibility [apolipoprotein E ε4 (APOE ε4) as well as cerebrospinal fluid β-amyloid (Aβ), total tau (tau), and hyperphosphorylated tau (p-tau)."
31305320,Type 2 Diabetes Interacts With Alzheimer Disease Risk Factors to Predict Functional Decline.,ALZ_T2DM,4,"RESULTS: The 3-way diabetes×AD risk factor×time interaction predicted increased rates of functional decline in cognitively normal participants in models that examined Obj-SCD, APOE ε4, tau, and p-tau positivity, but not Aβ positivity."
31305320,Type 2 Diabetes Interacts With Alzheimer Disease Risk Factors to Predict Functional Decline.,ALZ_T2DM,5,"CONCLUSIONS: cognitively normal participants with both diabetes and at least 1 Alzheimer disease risk factor (ie, Obj-SCD, APOE ε4, tau, and p-tau positivity) demonstrated faster functional decline compared with cognitively normal participants without diabetes and AD risk factors without both risk factors (diabetes Alzheimer disease AD)."
31305320,Type 2 Diabetes Interacts With Alzheimer Disease Risk Factors to Predict Functional Decline.,ALZ_T2DM,6,"These findings have implications for early identification of, and perhaps earlier intervention for, cognitively normal participants with diabetes at risk for future functional difficulty."
30975165,Differential effects of diet- and genetically-induced brain insulin resistance on amyloid pathology in a mouse model of Alzheimer's disease.,ALZ_T2DM,0,"BACKGROUND: Based on epidemiological and experimental studies, type 2 diabetes mellitus type 2 diabetes mellitus especially insulin resistance that comprises the core mechanism of T2DM, has been recognized as a significant risk factor for Alzheimer's disease Alzheimer's disease Studies in humans and diabetic Alzheimer's disease model mice have indicated a correlation between insulin resistance and increased amyloid deposition in the brain."
30975165,Differential effects of diet- and genetically-induced brain insulin resistance on amyloid pathology in a mouse model of Alzheimer's disease.,ALZ_T2DM,1,"Paradoxically, mice with targeted disruption of genes involved in the insulin signaling pathway showed protective effects against the AD-related pathology."
30975165,Differential effects of diet- and genetically-induced brain insulin resistance on amyloid pathology in a mouse model of Alzheimer's disease.,ALZ_T2DM,2,conflicting observations conflicting observations raise an issue as to the relationship between dysregulation of insulin signaling and Alzheimer's disease pathophysiology.
30975165,Differential effects of diet- and genetically-induced brain insulin resistance on amyloid pathology in a mouse model of Alzheimer's disease.,ALZ_T2DM,3,"METHODS: To study the causal relations and molecular mechanisms underlying insulin resistance-induced exacerbation of amyloid pathology, we investigated the chronological changes in the development of insulin resistance and amyloid pathology in two independent insulin-resistant Alzheimer's disease mouse models, i.e., long-term high-fat diet high-fat diet feeding and genetic disruption of Irs2, in combination with dietary interventions."
30975165,Differential effects of diet- and genetically-induced brain insulin resistance on amyloid pathology in a mouse model of Alzheimer's disease.,ALZ_T2DM,4,"In addition to biochemical and histopathological analyses, we examined the in vivo dynamics of brain amyloid-β (Aβ) and insulin by microdialysis technique."
30975165,Differential effects of diet- and genetically-induced brain insulin resistance on amyloid pathology in a mouse model of Alzheimer's disease.,ALZ_T2DM,5,RESULTS: HFD-fed diabetic Alzheimer's disease model mice displayed a reduced brain response to peripheral insulin stimulation and a decreased brain to plasma ratio of insulin during the hyperinsulinemic clamp.
30975165,Differential effects of diet- and genetically-induced brain insulin resistance on amyloid pathology in a mouse model of Alzheimer's disease.,ALZ_T2DM,6,Diet-induced defective insulin action in the brain was accompanied by a decreased clearance of the extracellular Aβ in vivo and an exacerbation of brain amyloid pathology.
30975165,Differential effects of diet- and genetically-induced brain insulin resistance on amyloid pathology in a mouse model of Alzheimer's disease.,ALZ_T2DM,7,noxious effects noxious effects of the high-fat diet both on insulin sensitivity and on Aβ deposition in brains were reversibly attenuated by dietary interventions.
30975165,Differential effects of diet- and genetically-induced brain insulin resistance on amyloid pathology in a mouse model of Alzheimer's disease.,ALZ_T2DM,8,"Importantly, high-fat diet feeding accelerated Aβ deposition also in the brains of IRS-2-deficient Alzheimer's disease mice."
30975165,Differential effects of diet- and genetically-induced brain insulin resistance on amyloid pathology in a mouse model of Alzheimer's disease.,ALZ_T2DM,9,"CONCLUSIONS: the researchers or the study results suggested a causal and reversible association of brain Aβ metabolism and amyloid Alzheimer's disease by diet-dependent, but not genetically-induced, insulin-resistance."
30975165,Differential effects of diet- and genetically-induced brain insulin resistance on amyloid pathology in a mouse model of Alzheimer's disease.,ALZ_T2DM,10,"observations Alzheimer's disease raise the possibility that the causal factors high-fat diet insulin resistance, e.g., metabolic stress or inflammation induced by high-fat diet feeding, but not high-fat diet insulin signaling per se, might be directly involved in the acceleration of Alzheimer's disease pathology in Alzheimer's disease brain."
37638441,"Tau Loss of Function, by Deletion or Aggregation, Contributes to Peripheral Insulin Resistance.",ALZ_T2DM,0,BACKGROUND: Several epidemiological data revealed an association between Alzheimer's disease Alzheimer's disease and type 2 diabetes.
37638441,"Tau Loss of Function, by Deletion or Aggregation, Contributes to Peripheral Insulin Resistance.",ALZ_T2DM,1,Researchers concentrated on brain insulin resistance with little emphasis on the link between systemic insulin resistance and Alzheimer's disease despite the fact that the incidence of type 2 diabetes is higher in Alzheimer's disease patients and that impairment in insulin signaling is a risk factor for AD.
37638441,"Tau Loss of Function, by Deletion or Aggregation, Contributes to Peripheral Insulin Resistance.",ALZ_T2DM,2,OBJECTIVE: The goal of this study is to determine the role of systemic insulin resistance in the pathogenesis of Alzheimer's disease by evaluating the consequences of tau loss-of-function on peripheral insulin sensitivity.
37638441,"Tau Loss of Function, by Deletion or Aggregation, Contributes to Peripheral Insulin Resistance.",ALZ_T2DM,3,"METHODS: Primary hepatocytes isolated from transgenic mouse models (Tau KO, P301 L) and wild type mice (C57BL/6) were evaluated for their insulin sensitivity using glucose uptake assays as well as biochemical analysis of insulin signaling markers."
